"Nombre del proyecto","Photo","Nombre Marketing","Ciudad","PLZ","Straße","Standortart","Propietario","Contactperson","Telephone","Email","Ratecard (PRECIO TOTAL)","Media","Producción","Forecasted Sales","Gross Profit blowUP","Magic 7","Date of creation ZD-Project","Último cambio","Estado","Probabilidad","Location Completion Chance","Location Approval Chance","Montaje","Demontaje","1er. Responsable BU","Development Note","GEO_Width","GEO_Length"
"Cruz 1","","Plaza Canalejas/Cruz","Madrid","28001","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","08.05.2012","31.07.2012","Perdido ante la competencia","50%","","","01.10.2012","31.01.2013","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Cuesta de San Vicente 22","","Cuesta de San Vicente 22","Madrid","28008","Cuesta de San Vicente 22","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-34,000.00 €","B","28.05.2019","13.08.2021","Negociaciones interrumpidas","50%","50%","50%","02.09.2019","31.12.2019","Carranza, Laura","03.06.2019 Carranza, Laura (Dev Note): no commercial interest","0.000000","0.000000"
"Cuesta de Santo Domingo 20","","Cuesta de Santo Domingo 20","Madrid","28001","","Andamio","","","","","94,072.06 €","85,000.00 €","7,647.06 €","98,725.00 €","46,246.14 €","C","22.04.2016","23.03.2018","Negociaciones interrumpidas","50%","50%","75%","01.06.2016","30.09.2016","Carranza, Laura","","0.000000","0.000000"
"Cuesta de Santo Domingo, 15","","Cuesta de Santo Domingo, 15","Madrid","28013","Cuesta de Santo Domingo, 15","Andamio","","","","","122,500.00 €","100,000.00 €","17,500.00 €","99,400.00 €","37,268.00 €","A","19.09.2022","20.09.2022","Emplazamiento introducido","50%","50%","75%","01.05.2023","30.09.2023","Aumente, Alfonso","","0.000000","0.000000"
"Cuesta San Vicente, 22","","Cuesta San Vicente, 22","Madrid","28008","Cuesta San Vicente, 22","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","12.03.2024","13.03.2024","Emplazamiento introducido","50%","50%","75%","01.04.2024","31.07.2024","Aumente, Alfonso","","40.251600","3.430900"
"Diagonal / Provença 309","","Diagonal / Provença 309","Barcelona","08037","","Andamio","ELIX","Diana Salarich","93-2173801","diana.salarich@elix.es","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","26.09.2019","27.09.2019","Negociaciones interrumpidas","50%","50%","75%","01.10.2020","31.03.2021","Ramon, Silvia","27.09.2019 Ramon, Silvia (Dev Note): We decide to reject the site","41.399001","2.166498"
"Diagonal 177 - Mediapro","","Diagonal 177 - 22@ - completo","Barcelona","08018","","Andamio","Hines","Covadonga Sanz","917030023","covadonga.sanz@hines.com","237,109.64 €","175,000.00 €","50,837.64 €","106,983.99 €","21,081.99 €","B","10.04.2019","21.06.2019","Negociaciones interrumpidas","50%","50%","75%","01.10.2019","31.12.2019","Ramon, Silvia","21.06.2019 Ramon, Silvia (Dev Note): We reject the project","41.404486","2.193901"
"Diagonal 177 - Mediapro","","Diagonal 177 - Central","Barcelona","08028","","Andamio","Hines","Covadonga Sanz","917030023","covadonga.sanz@hines.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","10.04.2019","21.06.2019","Negociaciones interrumpidas","50%","50%","50%","01.10.2019","31.12.2019","Ramon, Silvia","21.06.2019 Ramon, Silvia (Dev Note): We reject the project","0.000000","0.000000"
"Diagonal 177 - Mediapro","","Diagonal 177 - lateral + chaflán","Barcelona","08028","","Andamio","Hines","Covadonga Sanz","917030023","covadonga.sanz@hines.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","10.04.2019","21.06.2019","Negociaciones interrumpidas","50%","50%","50%","01.10.2019","31.03.2020","Ramon, Silvia","21.06.2019 Ramon, Silvia (Dev Note): We reject the project","0.000000","0.000000"
"Diagonal 281 / Aragón","","Diagonal 281","Barcelona","08013","","Andamio","TRAC ","Isabel Burgueno","934864300","isabel.burgueno@tracrehabilitacio.cat","196,661.05 €","180,000.00 €","9,647.05 €","227,891.98 €","133,441.36 €","C","10.07.2018","05.12.2019","Negociaciones interrumpidas","50%","50%","75%","01.12.2019","31.05.2020","Ramon, Silvia","05.12.2019 Ramon, Silvia (Phonecall): Owners do not want advertisement due to city council requirements","0.000000","2.176574"
"Diagonal 287 / Aragón","","Diagonal 287/ Aragón","Barcelona","08013","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","160,292.00 €","130,000.00 €","19,020.00 €","58,379.00 €","15,127.00 €","B","19.02.2020","21.04.2022","Perdido ante la competencia","50%","50%","75%","01.01.2022","31.07.2022","Ramon, Silvia","21.04.2022 Canela, Miguel (Others): firmado por VSA","41.400270","2.174952"
"Diagonal 327","","Diagonal 327 / Pº San Juan","Barcelona","08009","","Andamio","","","","","111,176.47 €","90,000.00 €","21,176.47 €","190,469.12 €","157,434.12 €","B","04.08.2010","31.07.2012","Contrato firmado","100%","","","15.09.2012","30.06.2013","Ramon, Silvia","","41.398000","2.169000"
"Diagonal 332","","Diagonal 332","Barcelona","08006","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","05.01.2012","14.01.2014","Negociaciones interrumpidas","75%","25%","100%","01.09.2012","31.01.2013","Ramon, Silvia","","0.000000","0.000000"
"Diagonal 353","","Diagonal 353 / Bruc","Barcelona","08008","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","02.10.2012","17.09.2013","Negociaciones interrumpidas","75%","","","01.11.2012","31.05.2013","Ramon, Silvia","","0.000000","0.000000"
"Diagonal 372","","Diagonal 372 / Ps. Sant Joan","Barcelona","08001","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","29.02.2016","28.06.2016","Negociaciones interrumpidas","50%","50%","100%","01.12.2016","31.05.2017","Ramon, Silvia","","0.000000","0.000000"
"Diagonal 389 / Pº Gracia ","","Diagonal 389 / Pº Gracia","Barcelona","08037","","Andamio","","","","","131,764.71 €","110,000.00 €","21,764.71 €","214,041.18 €","97,526.18 €","B","08.06.2012","31.07.2012","Contrato firmado","100%","","","01.01.2013","23.12.2013","Ramon, Silvia","","41.396000","2.158000"
"Diagonal 394-398","","Diagonal 398-398","Barcelona","08007","","Andamio","MC ","Francisco Javier Iruela","93-4051244","firuela@mc-mutual.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","02.10.2012","17.09.2013","Negociaciones interrumpidas","75%","","","01.11.2012","31.03.2013","Ramon, Silvia","","0.000000","0.000000"
"Diagonal 399 / Rambla Catalunya","","Diagonal 399 / Rambla Catalunya","Barcelona","08008","","Andamio","FINITRUST","Montserrat Villarroya","932184208","mvillarroya@icab.cat","167,154.35 €","130,000.00 €","25,882.35 €","231,440.99 €","70,318.49 €","B","10.10.2018","16.01.2019","Contrato firmado","100%","50%","100%","01.02.2019","31.12.2019","Ramon, Silvia","","41.395489","2.156881"
"Diagonal 405","","Diagonal 405","Barcelona","08007","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","2,000.00 €","0.00 €","1,000.00 €","0.00 €","0.00 €","B","02.02.2021","15.12.2022","Perdido ante la competencia","50%","50%","75%","01.12.2021","31.05.2022","Canela, Miguel","","0.000000","0.000000"
"Diagonal 407","","Diagonal 407","Barcelona","08007","","Andamio","EUROLLAR","Antonio Rodríguez","93-3232777","toni@eurollarcondal.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","10.05.2017","06.07.2017","Negociaciones interrumpidas","50%","50%","100%","01.12.2017","31.05.2018","Ramon, Silvia","","41.395200","2.155726"
"Diagonal 413","","Diagonal 413","Barcelona","08008","","Andamio","Balmes 370",".","934053976","info@imapinmobiliario.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","06.08.2013","07.05.2018","Negociaciones interrumpidas","25%","25%","100%","01.12.2013","31.03.2014","Ramon, Silvia","","0.000000","0.000000"
"Diagonal 414","","Diagonal 414","Barcelona","08008","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","23.01.2015","26.11.2015","Negociaciones interrumpidas","50%","50%","100%","01.10.2016","31.03.2017","Ramon, Silvia","","0.000000","0.000000"
"Diagonal 416-120","","Diagonal / Casa les Punxes","Barcelona","08037","","Andamio","","","","","92,058.82 €","85,000.00 €","7,058.82 €","150,063.97 €","59,439.22 €","C","09.05.2011","21.09.2011","Contrato firmado","100%","","","01.11.2011","30.04.2012","Ramon, Silvia","","41.397586","2.167178"
"Diagonal 421/ Enrique Granados","","Diagonal 421 / Enrique Granados","Barcelona","08008","","Andamio","DIAGONAL","","934161683","vm3finques@vm3finques.es","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","12.03.2019","09.07.2019","Negociaciones interrumpidas","50%","100%","50%","01.03.2020","31.08.2020","Ramon, Silvia","09.07.2019 Ramon, Silvia (Dev Note): This site is a proactive approach as there's any forecast to do works in the façade. I contact this sites twice a year, next contact forecasted for september","41.394771","2.153495"
"Diagonal 440","","Diagonal 440","Barcelona","","Diagonal 440","Andamio","","","","","102,000.00 €","69,000.00 €","33,000.00 €","66,300.00 €","52,370.00 €","","07.03.2006","26.07.2006","Perdido ante la competencia","","","","01.03.2006","31.08.2006","Morata, Rosi","","0.000000","0.000000"
"Diagonal 468","","Diagonal 468","Barcelona","08006","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","13.07.2009","04.08.2010","Negociaciones interrumpidas","100%","","","01.09.2009","31.01.2010","Ramon, Silvia","","0.000000","0.000000"
"Diagonal 478","","Diagonal 478","Barcelona","08006","","Andamio","Canterana","Gemma Subirana","938727850","gsubirana@lacanterana.es","161,860.24 €","120,000.00 €","30,588.24 €","401,088.02 €","141,505.02 €","B","15.01.2014","07.05.2018","Perdido ante la competencia","50%","50%","100%","01.11.2015","30.04.2016","Ramon, Silvia","","41.395870","2.155920"
"Diagonal 478","","Diagonal 478","Barcelona","08006","","Andamio","Canterana","Gemma Subirana","938727850","gsubirana@lacanterana.es","111,860.00 €","95,000.00 €","16,860.00 €","130,620.00 €","44,455.00 €","C","15.01.2014","07.05.2018","Perdido ante la competencia","50%","50%","100%","01.01.2015","30.06.2015","Ramon, Silvia","","41.395870","2.155920"
"Diagonal 482","","Diagonal 482","Barcelona","08006","","Andamio","","","","","145,000.00 €","120,000.00 €","15,000.00 €","361,120.00 €","255,290.70 €","B","05.09.2017","20.02.2018","Perdido ante la competencia","50%","50%","100%","01.05.2018","30.11.2018","Ramon, Silvia","","41.395722","2.155350"
"Diagonal 490 / Balmes","","Diagonal 490 / Balmes","Barcelona","08007","","Andamio","","","","","188,330.82 €","150,000.00 €","27,058.82 €","305,315.99 €","81,562.99 €","B","08.05.2017","05.06.2018","Perdido ante la competencia","50%","50%","100%","01.09.2018","31.01.2019","Ramon, Silvia","","41.395736","2.154616"
"Diagonal 507","","Av. Diagonal 507 (próximo a Pl. Francesc Macià)","Barcelona","08029","Avenida Diagonal 507","Andamio","","","","","92,647.05 €","75,000.00 €","17,647.05 €","56,808.08 €","46,598.28 €","C","05.02.2010","04.01.2011","Contrato firmado","100%","","","01.02.2011","23.07.2011","Ramon, Silvia","","41.391686","2.141510"
"Diagonal 511","","Diagonal 511","Barcelona","08029","Avinguda Diagonal 511","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","17.07.2023","18.07.2023","Emplazamiento introducido","50%","50%","50%","01.01.2024","31.12.2024","Canela, Miguel","","41.000000","2.000000"
"Diagonal 514","","Diagonal 514","Barcelona","08007","Diagonal 514","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","23.03.2006","17.09.2013","Perdido ante la competencia","","","","01.09.2012","31.01.2013","Ramon, Silvia","","0.000000","0.000000"
"Diagonal 538","","Diagonal 538/ Aribau","Barcelona","08008","","Andamio","AUGER","","93-4586911","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","22.05.2015","07.09.2015","Negociaciones interrumpidas","50%","50%","100%","01.02.2016","31.07.2016","Ramon, Silvia","","0.000000","0.000000"
"Diagonal 550 / Aribau","","Diagonal 550 / Aribau","Barcelona","08021","","Andamio","GRAS","NURIA GRAS","7501","fincasgras@fincasgras.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","12.03.2019","09.07.2019","Negociaciones interrumpidas","50%","50%","50%","01.03.2020","30.09.2020","Ramon, Silvia","09.07.2019 Ramon, Silvia (Dev Note): This site is a proactive approach as there's any forecast to do works in the façade. I contact this sites twice a year, next contact forecasted for september","41.394561","2.150753"
"Diagonal 572","","Diagonal 572","Barcelona","08006","","Andamio","GUINOT","Xavier Herrero","93-4878700","xherrero@guinotprunera.es","143,131.64 €","120,000.00 €","16,117.64 €","210,641.98 €","80,586.36 €","B","02.10.2015","05.12.2019","Negociaciones interrumpidas","50%","50%","75%","01.12.2019","31.05.2020","Ramon, Silvia","15.11.2019 Ramon, Silvia (Others): Management is not interested in the site","41.392163","2.140792"
"Diagonal 594 / Francesc Macià","","Diagonal 594 / Francesc Macià","Barcelona","08001","","Andamio","ROS","Héctor Ros Guinot","93-2378444","h.ros@finqueros.com","137,014.00 €","120,000.00 €","10,000.00 €","208,542.00 €","85,641.38 €","B","04.04.2017","30.06.2021","Negociaciones interrumpidas","75%","50%","100%","01.06.2021","30.11.2021","Ramon, Silvia","02.09.2020 Ramon, Silvia (Others): Esta todo parado, tienen licencia pero no saben cuando empezaran obras","0.000000","0.000000"
"Diagonal 600","","diagonal 600","Barcelona","08001","","Andamio","","","","","327,448.47 €","275,000.00 €","41,176.47 €","696,588.00 €","244,585.00 €","A","13.03.2015","22.05.2015","Perdido ante la competencia","50%","50%","100%","01.10.2015","31.01.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Diagonal 674-678","","Diagonal 674-678","Barcelona","08029","Diagonal 674-678","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","30.05.2006","29.06.2012","Negociaciones interrumpidas","50%","","","01.01.2008","30.06.2008","Ramon, Silvia","","0.000000","0.000000"
"Diagonal 698","","Diagonal 698","Barcelona","08000","Diagonal 698","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","03.01.2006","19.05.2008","Negociaciones interrumpidas","","","","01.01.2008","31.10.2008","Morata, Rosi","","0.000000","0.000000"
"Diagonal, 568","","Diagonal, 568","Barcelona","08036","Diagonal, 568","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","29.05.2006","19.05.2008","Perdido ante la competencia","","","","01.01.2008","30.06.2008","Morata, Rosi","","0.000000","0.000000"
"Diaognal 580 / Casanova","","Diagonal 580 / Casanova","Barcelona","08021","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","13.03.2019","23.04.2020","Negociaciones interrumpidas","50%","50%","50%","01.03.2020","31.08.2020","Ramon, Silvia","14.06.2019 Ramon, Silvia (Dev Note): i'm trying by different means to find out who is the contact person. This is a Community of Owners","41.393862","2.147993"
"Diego de León 43","","Diego de León - Principe de Vergara","Madrid","28001","","Andamio","","","","","60,897.59 €","50,000.00 €","6,470.59 €","26,052.00 €","5,925.20 €","C","21.12.2015","18.05.2016","Negociaciones interrumpidas","50%","50%","100%","01.02.2016","30.11.2016","Carranza, Laura","","0.000000","0.000000"
"Diego de león 5","","Diego de León 5","Madrid","28004","Diego de León 5","Andamio","","","","","212,609.00 €","185,000.00 €","20,584.00 €","214,917.00 €","91,500.00 €","A","07.09.2021","07.09.2021","Emplazamiento introducido","50%","50%","50%","01.03.2022","31.07.2022","Carranza, Laura","","0.000000","0.000000"
"Diego de León 69","","Diego de León 69/Francisco Silvela","Madrid","28007","","Andamio","","","","","128,722.47 €","95,000.00 €","21,176.47 €","278,142.82 €","89,448.82 €","B","14.03.2013","13.06.2013","Contrato firmado","100%","","","01.07.2013","31.12.2013","Arrogante, Juanjo Martinez","","40.434711","-3.675053"
"Diego de Leon, 14","","Diego de Leon, 14","Madrid","28006","Diego de Leon, 14","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","24.11.2023","25.11.2023","Emplazamiento introducido","50%","50%","75%","15.11.2023","15.11.2024","Aumente, Alfonso","","40.260519","3.410312"
"Diputació 347 / Ps. Sant Joan","","Diputació 347 / Ps. Sant Joan","Barcelona","08011","","Andamio","ELIX","Diana Salarich","93-2173801","diana.salarich@elix.es","121,778.70 €","100,000.00 €","14,764.70 €","53,314.00 €","32,090.46 €","C","15.11.2018","19.12.2018","Negociaciones interrumpidas","50%","75%","100%","01.11.2018","30.04.2019","Ramon, Silvia","","41.395067","2.172942"
"Doctor Esquerdo 114","","Doctor Esquerdo 114","Madrid","28000","Doctor Esquerdo 114","Medianera","","","","","122,609.00 €","100,000.00 €","17,284.00 €","53,209.00 €","20,704.00 €","B","20.12.2021","20.12.2021","Emplazamiento introducido","50%","75%","75%","01.02.2022","31.05.2022","Carranza, Laura","","40.408742","-3.670351"
